M1,M2,P1,P2,F,Total
98.0,19.0,20.0,96.0,45.0,52.0
31.0,70.0,74.0,21.0,1.0,29.0
71.0,62.0,19.0,25.0,99.0,66.0
31.0,25.0,29.0,47.0,29.0,32.0
94.0,30.0,75.0,61.0,7.0,37.0
89.0,21.0,62.0,84.0,39.0,51.0
45.0,15.0,92.0,84.0,76.0,63.0
3.0,88.0,75.0,60.0,3.0,38.0
49.0,60.0,77.0,51.0,58.0,58.0
70.0,99.0,60.0,6.0,14.0,39.0
97.0,17.0,53.0,29.0,79.0,55.0
64.0,28.0,58.0,33.0,23.0,33.0
25.0,10.0,3.0,1.0,66.0,31.0
49.0,16.0,7.0,70.0,98.0,62.0
19.0,27.0,62.0,42.0,51.0,42.0
60.0,75.0,65.0,33.0,78.0,65.0
5.0,62.0,60.0,43.0,37.0,42.0
45.0,84.0,51.0,33.0,67.0,59.0
28.0,59.0,38.0,93.0,64.0,62.0
81.0,51.0,64.0,38.0,52.0,53.0
25.0,22.0,98.0,52.0,56.0,49.0
8.0,25.0,27.0,55.0,12.0,24.0
68.0,99.0,32.0,38.0,69.0,65.0
87.0,60.0,38.0,15.0,44.0,45.0
90.0,81.0,86.0,54.0,15.0,50.0
18.0,10.0,80.0,53.0,53.0,43.0
68.0,89.0,72.0,81.0,13.0,53.0
49.0,3.0,19.0,96.0,50.0,46.0
54.0,55.0,59.0,85.0,98.0,78.0
4.0,61.0,86.0,18.0,52.0,45.0
68.0,39.0,50.0,49.0,87.0,64.0
57.0,7.0,78.0,40.0,54.0,44.0
82.0,91.0,44.0,65.0,83.0,77.0
74.0,88.0,36.0,26.0,48.0,53.0
38.0,1.0,41.0,25.0,53.0,34.0
7.0,10.0,73.0,93.0,14.0,34.0
47.0,62.0,92.0,13.0,60.0,52.0
99.0,24.0,62.0,43.0,74.0,59.0
15.0,83.0,52.0,15.0,97.0,65.0
19.0,91.0,58.0,97.0,74.0,74.0
11.0,24.0,21.0,92.0,10.0,30.0
8.0,72.0,83.0,66.0,76.0,67.0
88.0,33.0,53.0,26.0,38.0,41.0
84.0,65.0,30.0,31.0,91.0,67.0
84.0,41.0,99.0,67.0,74.0,69.0
76.0,64.0,56.0,7.0,2.0,28.0
17.0,68.0,89.0,14.0,66.0,53.0
48.0,27.0,54.0,53.0,40.0,42.0
88.0,77.0,64.0,88.0,25.0,58.0
29.0,49.0,51.0,83.0,62.0,59.0
31.0,96.0,22.0,32.0,64.0,56.0
18.0,76.0,7.0,89.0,38.0,50.0
34.0,90.0,77.0,48.0,64.0,64.0
24.0,18.0,14.0,72.0,3.0,23.0
95.0,21.0,22.0,62.0,55.0,50.0
3.0,97.0,51.0,68.0,78.0,69.0
58.0,32.0,56.0,89.0,62.0,60.0
44.0,45.0,10.0,70.0,98.0,67.0
61.0,83.0,99.0,45.0,97.0,80.0
50.0,20.0,17.0,86.0,6.0,30.0
91.0,75.0,32.0,44.0,89.0,71.0
78.0,68.0,20.0,36.0,92.0,67.0
80.0,58.0,47.0,96.0,72.0,72.0
14.0,3.0,73.0,50.0,2.0,20.0
18.0,53.0,80.0,21.0,64.0,50.0
50.0,67.0,98.0,46.0,45.0,55.0
98.0,95.0,85.0,44.0,52.0,66.0
76.0,28.0,97.0,80.0,42.0,55.0
25.0,19.0,94.0,65.0,57.0,51.0
80.0,18.0,78.0,36.0,12.0,31.0
22.0,83.0,79.0,93.0,62.0,70.0
62.0,41.0,55.0,19.0,3.0,24.0
24.0,46.0,92.0,43.0,70.0,57.0
89.0,11.0,68.0,16.0,97.0,59.0
35.0,32.0,52.0,38.0,59.0,46.0
48.0,27.0,79.0,32.0,39.0,40.0
72.0,83.0,90.0,92.0,38.0,66.0
26.0,71.0,11.0,25.0,28.0,34.0
62.0,50.0,56.0,52.0,72.0,61.0
11.0,16.0,20.0,11.0,86.0,42.0
12.0,5.0,55.0,91.0,12.0,30.0
57.0,38.0,60.0,51.0,97.0,68.0
19.0,84.0,26.0,31.0,36.0,41.0
50.0,48.0,22.0,46.0,24.0,35.0
22.0,32.0,47.0,82.0,34.0,43.0
69.0,58.0,13.0,23.0,74.0,54.0
27.0,65.0,2.0,83.0,23.0,41.0
62.0,43.0,33.0,71.0,4.0,33.0
69.0,35.0,26.0,3.0,94.0,54.0
83.0,33.0,91.0,10.0,22.0,34.0
32.0,83.0,43.0,24.0,10.0,32.0
68.0,91.0,97.0,17.0,36.0,52.0
55.0,58.0,76.0,60.0,43.0,53.0
62.0,2.0,3.0,78.0,34.0,36.0
94.0,85.0,86.0,54.0,82.0,78.0
44.0,57.0,83.0,77.0,88.0,74.0
98.0,66.0,7.0,75.0,58.0,61.0
48.0,1.0,33.0,24.0,41.0,29.0
93.0,78.0,32.0,80.0,74.0,73.0
84.0,9.0,22.0,18.0,74.0,45.0
79.0,87.0,76.0,84.0,63.0,74.0
58.0,3.0,9.0,97.0,1.0,27.0
37.0,11.0,44.0,67.0,54.0,45.0
38.0,91.0,57.0,36.0,58.0,58.0
49.0,63.0,71.0,16.0,80.0,59.0
53.0,40.0,11.0,19.0,41.0,34.0
49.0,65.0,22.0,24.0,32.0,37.0
84.0,65.0,65.0,80.0,46.0,62.0
50.0,87.0,26.0,63.0,1.0,38.0
98.0,65.0,61.0,65.0,48.0,61.0
15.0,20.0,37.0,52.0,95.0,57.0
15.0,42.0,83.0,91.0,96.0,74.0
17.0,73.0,36.0,30.0,3.0,27.0
66.0,97.0,28.0,62.0,33.0,54.0
85.0,29.0,73.0,95.0,85.0,74.0
40.0,42.0,41.0,46.0,23.0,34.0
41.0,59.0,48.0,31.0,61.0,51.0
84.0,29.0,72.0,74.0,77.0,67.0
99.0,31.0,11.0,16.0,49.0,40.0
44.0,50.0,74.0,51.0,91.0,68.0
30.0,76.0,70.0,32.0,66.0,58.0
28.0,63.0,82.0,71.0,16.0,44.0
33.0,10.0,84.0,60.0,90.0,61.0
6.0,16.0,50.0,59.0,53.0,41.0
8.0,16.0,83.0,33.0,82.0,51.0
95.0,12.0,68.0,66.0,26.0,42.0
23.0,34.0,20.0,34.0,30.0,29.0
54.0,19.0,66.0,53.0,12.0,31.0
2.0,22.0,86.0,27.0,5.0,20.0
4.0,56.0,45.0,4.0,51.0,37.0
46.0,67.0,83.0,73.0,67.0,67.0
40.0,81.0,88.0,51.0,23.0,48.0
97.0,33.0,99.0,62.0,51.0,59.0
3.0,1.0,66.0,45.0,76.0,46.0
24.0,59.0,93.0,42.0,11.0,36.0
40.0,78.0,30.0,13.0,66.0,51.0
78.0,18.0,85.0,52.0,17.0,37.0
82.0,28.0,68.0,46.0,64.0,55.0
4.0,54.0,24.0,6.0,98.0,54.0
80.0,3.0,77.0,64.0,7.0,31.0
77.0,36.0,40.0,64.0,70.0,59.0
21.0,2.0,84.0,99.0,75.0,60.0
47.0,51.0,29.0,31.0,12.0,28.0
15.0,45.0,32.0,22.0,77.0,48.0
47.0,91.0,95.0,15.0,5.0,37.0
79.0,40.0,90.0,54.0,17.0,42.0
95.0,95.0,6.0,24.0,58.0,57.0
50.0,87.0,67.0,88.0,59.0,70.0
53.0,14.0,17.0,11.0,91.0,48.0
2.0,9.0,88.0,26.0,37.0,30.0
37.0,16.0,37.0,36.0,55.0,39.0
21.0,69.0,98.0,76.0,40.0,56.0
97.0,37.0,14.0,12.0,98.0,60.0
31.0,78.0,3.0,51.0,78.0,60.0
95.0,30.0,53.0,24.0,93.0,62.0
39.0,53.0,24.0,97.0,25.0,46.0
86.0,7.0,21.0,48.0,92.0,58.0
57.0,67.0,73.0,19.0,22.0,39.0
93.0,62.0,46.0,62.0,68.0,65.0
21.0,13.0,51.0,21.0,81.0,46.0
66.0,36.0,55.0,24.0,75.0,54.0
48.0,98.0,51.0,88.0,20.0,55.0
52.0,30.0,51.0,15.0,77.0,50.0
1.0,19.0,38.0,91.0,57.0,48.0
90.0,65.0,71.0,73.0,97.0,82.0
5.0,75.0,5.0,36.0,2.0,24.0
84.0,88.0,51.0,84.0,81.0,80.0
49.0,37.0,91.0,38.0,62.0,53.0
60.0,22.0,33.0,2.0,90.0,50.0
35.0,69.0,39.0,35.0,46.0,46.0
82.0,52.0,93.0,20.0,73.0,61.0
93.0,34.0,12.0,87.0,73.0,63.0
95.0,30.0,66.0,50.0,48.0,51.0
7.0,86.0,40.0,89.0,96.0,78.0
1.0,42.0,42.0,97.0,85.0,66.0
14.0,43.0,79.0,42.0,55.0,48.0
79.0,31.0,63.0,29.0,16.0,32.0
42.0,94.0,3.0,1.0,18.0,30.0
54.0,21.0,47.0,95.0,3.0,34.0
37.0,56.0,70.0,43.0,57.0,53.0
85.0,36.0,88.0,98.0,9.0,47.0
69.0,92.0,86.0,91.0,58.0,75.0
39.0,48.0,34.0,39.0,2.0,25.0
98.0,81.0,74.0,33.0,25.0,50.0
99.0,6.0,41.0,76.0,8.0,33.0
62.0,20.0,54.0,32.0,62.0,46.0
43.0,35.0,94.0,14.0,38.0,38.0
28.0,30.0,24.0,65.0,81.0,56.0
45.0,39.0,38.0,85.0,33.0,46.0
5.0,96.0,38.0,85.0,89.0,76.0
93.0,80.0,47.0,89.0,50.0,67.0
23.0,15.0,95.0,31.0,22.0,29.0
91.0,98.0,83.0,94.0,36.0,70.0
4.0,5.0,91.0,92.0,1.0,29.0
99.0,30.0,72.0,58.0,21.0,43.0
95.0,55.0,27.0,32.0,91.0,66.0
25.0,68.0,24.0,70.0,9.0,36.0
61.0,4.0,95.0,89.0,86.0,68.0
60.0,71.0,90.0,12.0,81.0,64.0
60.0,81.0,21.0,26.0,48.0,48.0
91.0,5.0,67.0,85.0,40.0,49.0
97.0,85.0,2.0,71.0,82.0,73.0
44.0,76.0,41.0,82.0,50.0,60.0
97.0,63.0,73.0,2.0,79.0,61.0
14.0,65.0,42.0,90.0,83.0,69.0
48.0,88.0,11.0,9.0,26.0,35.0
59.0,34.0,6.0,4.0,10.0,18.0
70.0,55.0,29.0,84.0,52.0,58.0
75.0,18.0,98.0,22.0,95.0,63.0
41.0,90.0,97.0,28.0,62.0,62.0
96.0,81.0,16.0,75.0,89.0,78.0
87.0,72.0,32.0,37.0,87.0,68.0
12.0,84.0,2.0,36.0,23.0,34.0
4.0,22.0,41.0,83.0,48.0,44.0
69.0,76.0,9.0,84.0,40.0,55.0
10.0,30.0,73.0,91.0,43.0,49.0
40.0,87.0,88.0,14.0,87.0,67.0
60.0,24.0,71.0,22.0,96.0,60.0
61.0,42.0,33.0,77.0,1.0,33.0
91.0,67.0,12.0,43.0,46.0,50.0
2.0,97.0,78.0,31.0,36.0,48.0
46.0,5.0,5.0,17.0,57.0,32.0
87.0,61.0,25.0,63.0,54.0,57.0
78.0,25.0,69.0,45.0,18.0,35.0
40.0,18.0,64.0,79.0,62.0,54.0
60.0,65.0,84.0,3.0,19.0,35.0
9.0,80.0,39.0,61.0,46.0,51.0
78.0,14.0,32.0,92.0,79.0,63.0
23.0,45.0,62.0,38.0,26.0,35.0
43.0,64.0,12.0,34.0,83.0,58.0
11.0,81.0,93.0,20.0,74.0,60.0
28.0,90.0,22.0,87.0,98.0,79.0
46.0,54.0,31.0,48.0,85.0,62.0
49.0,79.0,47.0,4.0,56.0,48.0
78.0,58.0,52.0,32.0,54.0,52.0
21.0,95.0,7.0,42.0,29.0,41.0
